,algorithm_name
4267,mlr.classif.avNNet
4269,mlr.classif.rpart.bagged
4283,weka.FilteredClassifier_MultilayerPerceptron
4284,mlr.classif.ranger
4285,mlr.classif.J48.bagged
4287,mlr.classif.ctree.bagged
4289,weka.FilteredClassifier_J48
4295,weka.Bagging_MultilayerPerceptron
4310,mlr.classif.rpart
4315,mlr.classif.rpart
4326,mlr.classif.kknn.preproc.preproc.tuned
4349,mlr.classif.svm.preproc.preproc.tuned
4350,mlr.classif.rpart.preproc.preproc.tuned
4351,mlr.classif.glmnet.preproc.preproc.tuned
4352,mlr.classif.ranger.preproc.preproc.tuned
4353,mlr.classif.svm.preproc.preproc.tuned
4354,mlr.classif.rpart.preproc.preproc.tuned
4355,mlr.classif.glmnet.preproc.preproc.tuned
4356,mlr.classif.ranger.preproc.preproc.tuned
4357,mlr.classif.svm.preproc.preproc.tuned
4358,mlr.classif.rpart.preproc.preproc.tuned
4359,mlr.classif.glmnet.preproc.preproc.tuned
4360,mlr.classif.ranger.preproc.preproc.tuned
4361,mlr.classif.svm.preproc.preproc.tuned
4362,mlr.classif.rpart.preproc.preproc.tuned
4363,mlr.classif.gbm.preproc.preproc.tuned
4364,mlr.classif.glmnet.preproc.preproc.tuned
4365,mlr.classif.svm.preproc.preproc.tuned
4366,mlr.classif.rpart.preproc.preproc.tuned
4367,mlr.classif.glmnet.preproc.preproc.tuned
4368,mlr.classif.ranger.preproc.preproc.tuned
4369,mlr.classif.svm.preproc.preproc.tuned
4370,mlr.classif.rpart.preproc.preproc.tuned
4371,mlr.classif.glmnet.preproc.preproc.tuned
4372,mlr.classif.ranger.preproc.preproc.tuned
4381,mlr.classif.svm.preproc.preproc.tuned
4382,mlr.classif.rpart.preproc.preproc.tuned
